nctdel fail male black hisp sn1 sn2 sn3 all4
1.2 1 0 0 0 0 1 0 0
0.8666666667 1 0 0 0 0 1 0 0
1.6666666667 1 0 0 0 1 0 0 0
1.85 1 1 1 0 1 0 0 0
1.2666666667 1 1 0 0 0 1 0 0
0.9833333333 1 0 0 0 1 0 0 0
1.4333333333 1 1 0 0 1 0 0 0
1.2833333333 1 0 0 0 0 0 1 0
1.6333333333 1 1 1 0 1 0 0 0
1.8 1 1 1 0 1 0 0 0
0.9833333333 1 1 0 0 1 0 0 0
0.9833333333 1 0 0 0 0 1 0 0
1.1166666667 1 1 0 0 0 1 0 0
1.1666666667 1 0 0 0 0 1 0 0
2.8666666667 1 0 1 0 0 0 1 0
2.0166666667 1 1 0 0 0 1 0 0
0.9166666667 0 1 0 0 0 0 0 0
1.5166666667 1 0 0 0 1 0 0 0
0.5166666667 1 0 1 0 0 0 0 0
2.2 1 0 0 0 1 0 0 0
2.0833333333 1 0 0 0 1 0 0 0
1.2 1 1 1 0 0 0 1 0
2.4166666667 1 0 1 0 1 0 0 0
0.5166666667 0 1 0 0 0 0 0 0
3.9666666667 1 0 1 0 0 1 0 0
0.6 1 1 0 0 0 1 0 0
1.65 1 0 0 0 1 0 0 0
0.7666666667 1 1 0 0 1 0 0 0
2.9 1 0 1 0 1 0 0 0
0.6833333333 1 0 0 0 1 0 0 0
1.7166666667 1 1 0 0 0 1 0 0
0.4666666667 0 0 1 0 1 0 0 0
1.1166666667 0 1 1 0 0 0 0 0
1.4 1 0 1 0 0 1 0 0
2.2833333333 1 1 1 0 1 0 0 0
1.1833333333 1 1 0 0 0 0 0 0
1.2166666667 1 0 0 0 1 0 0 0
2.45 1 1 0 0 1 0 0 0
0.9333333333 1 0 0 0 0 1 0 0
1.1666666667 1 1 0 0 0 0 0 0
1.6 1 0 1 0 1 0 0 0
1.85 1 1 1 0 1 0 0 0
1.7333333333 1 1 0 0 0 0 0 0
0.4833333333 1 1 0 0 1 0 0 0
1.3166666667 1 1 0 0 1 0 0 0
0.6833333333 1 0 0 0 1 0 0 0
1.25 1 1 0 0 1 0 0 0
0.3333333333 1 0 1 0 0 0 0 0
0.5833333333 1 1 1 0 1 0 0 0
1.6166666667 1 1 0 0 0 0 1 0
0.4833333333 1 1 1 0 1 0 0 0
2.15 1 1 1 0 0 1 0 0
0.9166666667 1 1 1 0 1 0 0 0
1.1833333333 1 0 1 0 0 0 0 0
3.1833333333 1 0 0 0 1 0 0 0
0.9666666667 1 0 1 0 0 0 0 0
1.6833333333 1 0 0 0 0 0 0 0
2.55 1 1 0 0 1 0 0 0
2.1666666667 1 1 0 0 0 1 0 0
2.6 1 1 1 0 0 1 0 0
0.85 1 1 0 0 1 0 0 0
2.3833333333 1 1 1 0 0 0 0 0
1.2166666667 1 0 0 0 0 0 0 0
1.3333333333 1 0 0 0 0 0 0 0
1.4333333333 1 1 0 0 1 0 0 0
0.5 0 1 0 0 1 0 0 0
0.6833333333 0 1 1 0 0 0 0 0
2.3333333333 1 1 1 0 0 1 0 0
1.95 1 0 1 0 1 0 0 0
0.95 1 1 0 0 1 0 0 0
1.0666666667 1 0 0 0 1 0 0 0
0.9 1 0 0 0 0 0 0 0
2.6 1 0 0 0 0 0 0 0
3.3333333333 1 0 1 0 0 0 0 0
1.2 1 1 0 0 0 1 0 0
0.7166666667 0 0 0 0 0 1 0 0
0.2666666667 1 0 0 0 1 0 0 0
0.6 0 0 1 0 0 0 0 0
2.05 1 0 0 0 1 0 0 0
1.6833333333 1 0 1 0 1 0 0 0
1.7333333333 1 0 1 0 1 0 0 0
1.05 0 1 0 0 1 0 0 0
1.0833333333 1 1 1 0 1 0 0 0
0.8666666667 1 0 0 0 0 0 1 0
3.05 1 0 0 0 1 0 0 0
2.25 1 0 0 0 1 0 0 0
3.8333333333 1 1 0 0 0 0 0 0
1 0 1 1 0 0 1 0 0
0.95 1 1 0 0 0 0 0 1
6.05 1 0 0 0 0 0 0 0
0.4666666667 1 0 0 0 0 0 0 0
0.7666666667 1 0 1 0 1 0 0 0
1.8333333333 1 0 0 0 1 0 0 0
0.9666666667 0 1 0 0 0 0 0 0
0.8666666667 1 1 1 0 0 1 0 0
1.45 1 0 0 0 0 0 1 0
1.4833333333 1 0 0 0 0 1 0 0
1.3833333333 1 1 0 0 0 1 0 0
2.9 1 0 1 0 0 0 1 0
4.7166666667 1 0 0 0 0 0 0 0
0.7833333333 1 0 0 0 1 0 0 0
2.8 1 1 1 0 1 0 0 0
2.2833333333 1 0 0 0 0 0 1 0
1.75 0 0 0 0 1 0 0 0
1.7333333333 1 0 1 0 1 0 0 0
4.4166666667 1 0 0 0 0 1 0 0
0.1833333333 0 1 0 0 0 1 0 0
1.4333333333 1 0 1 0 0 0 0 1
1.7666666667 1 0 0 0 0 1 0 0
2.3666666667 1 1 0 0 0 1 0 0
1.5 1 1 1 0 0 1 0 0
2.2166666667 1 0 0 0 1 0 0 0
0.9166666667 0 0 1 0 0 1 0 0
0.15 1 0 0 0 1 0 0 0
1.5 1 1 0 0 1 0 0 0
0.9166666667 0 0 1 0 0 1 0 0
0.7333333333 1 0 0 0 0 0 0 0
0.4833333333 1 1 0 0 1 0 0 0
1.0666666667 1 0 0 0 0 0 1 0
1.6166666667 1 0 0 0 1 0 0 0
1.0333333333 0 0 1 0 0 1 0 0
2.6666666667 1 1 1 0 1 0 0 0
1.5666666667 1 1 0 0 1 0 0 0
1.3833333333 1 1 0 0 1 0 0 0
1.8833333333 1 1 0 0 0 1 0 0
1.9833333333 1 0 1 0 0 0 0 0
0.5 0 0 0 0 0 1 0 0
2.1 1 1 1 0 1 0 0 0
1.8 1 0 0 0 0 1 0 0
0.25 0 1 1 0 1 0 0 0
2.7 1 1 0 0 1 0 0 0
0.5 1 0 0 0 1 0 0 0
2.65 1 1 1 0 0 1 0 0
0.55 1 0 1 0 0 1 0 0
2.8833333333 1 1 0 0 1 0 0 0
1.2166666667 1 1 1 0 1 0 0 0
2.25 1 1 1 0 0 1 0 0
1 1 0 0 0 1 0 0 0
1.8666666667 1 0 1 0 0 1 0 0
0.6833333333 0 1 0 0 0 0 1 0
1.7 1 1 1 0 1 0 0 0
1 1 0 1 0 0 1 0 0
3.8833333333 1 0 0 0 0 0 0 0
3.9666666667 1 0 1 0 1 0 0 0
1.7833333333 1 0 1 0 0 1 0 0
1.3 0 1 0 0 0 0 0 0
0.6166666667 0 1 0 0 0 0 0 0
10.816666667 1 0 0 0 1 0 0 0
1.4333333333 1 1 0 0 0 0 0 1
4.2333333333 1 0 1 0 0 0 0 0
2.7 1 1 0 0 0 0 1 0
0.5 1 1 0 0 0 1 0 0
2.3666666667 1 0 0 0 0 1 0 0
1.7666666667 1 1 1 0 0 1 0 0
3.55 1 1 1 0 0 0 0 0
1.3166666667 1 1 0 0 1 0 0 0
1.4333333333 1 0 0 0 0 1 0 0
0.8 1 0 0 0 0 0 0 0
1.7333333333 1 1 1 0 1 0 0 0
1.7166666667 1 1 1 0 0 1 0 0
1.5666666667 1 0 0 0 1 0 0 0
0.7833333333 1 0 1 0 0 0 1 0
1.5 1 1 0 0 1 0 0 0
2.7666666667 1 0 0 0 0 1 0 0
3.3666666667 1 0 0 0 1 0 0 0
0.9 1 0 0 0 0 1 0 0
1.75 1 1 1 0 1 0 0 0
1.3666666667 1 1 0 0 0 0 1 0
2.3 1 1 0 0 1 0 0 0
1.5666666667 1 1 0 0 0 1 0 0
2.2 1 0 0 0 0 0 0 0
1.2166666667 1 1 0 0 1 0 0 0
1.1 0 0 0 0 0 0 0 0
1.6833333333 1 1 0 0 0 0 0 0
4.3333333333 1 1 0 0 0 0 1 0
0.7833333333 1 0 0 0 1 0 0 0
1.7833333333 1 0 0 0 0 0 0 0
2.8 1 1 0 0 0 1 0 0
1.05 1 1 0 0 1 0 0 0
3.8833333333 1 0 1 0 0 1 0 0
2.0833333333 1 1 1 0 0 1 0 0
1.8333333333 1 1 1 0 1 0 0 0
3.45 1 0 0 0 0 1 0 0
2.15 1 0 1 0 1 0 0 0
1.7 1 0 0 1 1 0 0 0
1.25 1 1 0 0 1 0 0 0
1.5833333333 1 0 0 0 1 0 0 0
1.0833333333 1 0 0 0 0 0 0 1
0.9666666667 1 1 1 0 0 0 0 0
1.5666666667 1 0 0 1 0 0 0 0
3.0833333333 1 1 1 0 1 0 0 0
1.6 1 0 1 0 1 0 0 0
0.8666666667 1 1 0 0 1 0 0 0
1 1 0 0 1 1 0 0 0
0.75 1 1 0 0 1 0 0 0
0.5833333333 1 0 0 0 0 0 0 0
1.2666666667 1 0 0 0 1 0 0 0
1.0833333333 1 1 0 0 1 0 0 0
1.25 1 0 0 0 0 0 0 0
1.1833333333 1 0 0 0 0 1 0 0
4.3833333333 1 1 0 0 1 0 0 0
0.5 1 0 0 0 0 0 0 0
2 1 1 0 0 0 0 0 0
1.45 1 0 0 0 0 1 0 0
0.15 0 0 0 0 1 0 0 0
0.35 1 1 1 0 0 0 1 0
1.75 1 0 0 0 0 1 0 0
3 1 0 0 0 1 0 0 0
7.4 1 1 0 0 1 0 0 0
4.3666666667 1 1 0 0 0 1 0 0
2.1666666667 1 1 0 0 1 0 0 0
0 1 1 0 0 0 1 0 0
0.25 1 1 0 1 0 1 0 0
10.5 1 1 0 1 1 0 0 0
0.9166666667 1 1 0 0 1 0 0 0
1.3333333333 1 1 0 0 1 0 0 0
1 1 0 0 0 0 0 0 0
0 0 1 0 0 1 0 0 0
0.8333333333 0 0 0 0 0 1 0 0
1.3333333333 1 0 0 0 1 0 0 0
0.55 0 0 0 0 0 1 0 0
0.25 0 0 0 0 1 0 0 0
1.8333333333 1 1 0 0 1 0 0 0
0.9333333333 1 0 0 0 1 0 0 0
1 1 0 0 0 1 0 0 0
1.1666666667 1 0 0 0 0 0 0 0
0.3333333333 1 0 0 0 0 0 0 1
1.7166666667 1 1 0 0 0 0 1 0
16.25 1 1 0 1 0 0 0 0
0.5833333333 1 1 0 0 1 0 0 0
2.3333333333 1 1 0 0 0 1 0 0
2.0833333333 1 1 0 0 0 1 0 0
2.4333333333 1 1 0 0 1 0 0 0
1 1 1 0 0 0 1 0 0
1.3333333333 1 0 0 0 1 0 0 0
0.65 1 1 0 0 1 0 0 0
2.9166666667 1 1 0 0 1 0 0 0
2.2333333333 1 1 0 0 0 0 0 0
2.0833333333 0 1 0 0 0 0 0 0
